Master Feature ID,Domain,Canonical KitLuy Capability,Primary Owner,Authority,Master Disposition,Earliest Phase,Phase Coverage,Source Platforms,Source Row Count,WooCommerce IDs,Toast IDs,Shopify IDs,Lightspeed IDs,Loyverse IDs,Source Classifications,Source Capability Names,Review Note,Owner Decision ID,Owner Decision Choice,Owner Decision Effective Date,Owner Decision,Owner Decision Rules
KLMF-COM-049,COM,Tax presentation,Shared Suite Governance & KitLuy Core,APPROVED TARGET,ADOPT / ADAPT CANDIDATE,Phase 1,Phase 1 foundation; through Phase 3,Loyverse,1,,,,,KL-LV-033,UX IMPROVEMENT,Tax presentation,,,,,,
KLMF-COM-050,COM,"WooCommerce, social, marketplace and delivery projections",Shared Suite Governance & KitLuy Core,OWNER-LOCKED,PRESERVE OWNER-LOCKED AUTHORITY,Phase 1,Phase 1,WooCommerce,1,KCA-WC-005,,,,,ALREADY OWNER-LOCKED,"WooCommerce, social, marketplace and delivery projections",,,,,,
KLMF-CUS-001,CUS,"BOPIS, ship-to-customer and any-location returns",kitluy-pos-desktop-app,APPROVED TARGET,PRESERVE / DEEPEN KITLUY TARGET,Phase 4,Phase 4 foundation; through Phase 6,Shopify,1,,,KLS-SH-092,,,ALREADY LATER-PHASE TARGET,"BOPIS, ship-to-customer and any-location returns",,,,,,
KLMF-CUS-002,CUS,"Layered Chain, Partner and platform moderation authority",kitluy-chain-portal,OWNER-LOCKED,PRESERVE OWNER-LOCKED AUTHORITY,Phase 3,Phase 3,WooCommerce,1,KCH-WC-005,,,,,NEEDS OWNER DECISION,"Chain, Partner and platform moderation authority","Owner-confirmed B on 2026-07-24: Use layered moderation authority: Partner for its Digital Store, Chain for chain standards and participating Stores, and HET only for platform safety, fraud, legal, privacy, abuse or policy intervention.",KLD-2026-07-24-001,B,2026-07-24,"Use layered moderation authority: Partner for its Digital Store, Chain for chain standards and participating Stores, and HET only for platform safety, fraud, legal, privacy, abuse or policy intervention.","Reason codes, appeals, overrides and immutable audit are mandatory; HET may not silently rewrite operational truth."
KLMF-CUS-003,CUS,Connector-owned customer records,Shared Suite Governance & KitLuy Core,OWNER-LOCKED,REJECT / ARCHITECTURAL GUARDRAIL,Unresolved,Unresolved,WooCommerce,1,KCA-WC-010,,,,,REJECT,Connector-owned customer records,,,,,,
KLMF-CUS-004,CUS,Customer account contract,Commerce Store API,PLANNING CANDIDATE,ADOPT / ADAPT CANDIDATE,Phase 3,Phase 3,Shopify,1,,,KLS-SH-098,,,PHASE 3 HORIZONTAL,Customer account contract,,,,,,
KLMF-CUS-005,CUS,"Customer account, history and self-service",KitLuy Storefront,APPROVED TARGET,PRESERVE / DEEPEN KITLUY TARGET,Phase 3,Phase 3,"WooCommerce, Shopify",2,KSF-WC-008,,KLS-SH-072,,,ECOMMERCE VERTICAL | ALREADY PHASE 3 TARGET,Booking/order history and self-service status | Customer accounts and self-service,,,,,,
KLMF-CUS-006,CUS,"Customer consent, privacy, export and deletion",Shared Suite Governance & KitLuy Core,APPROVED TARGET,APPROVED BASE + OWNER DECISION FOR OPTIONAL DEPTH,Phase 1,Phase 1 foundation; through Phase 3,"WooCommerce, Shopify, Loyverse",3,KLC-WC-053,,KLS-SH-075,,KL-LV-077,CORE CANDIDATE | NEEDS OWNER DECISION,"Marketing consent, export, deletion and privacy | Consent and privacy requests | Marketing consent",Review source-level classifications before activation.,,,,,
KLMF-CUS-007,CUS,Customer CRM profile and cross-channel history,Shared Suite Governance & KitLuy Core,APPROVED TARGET,ADOPT / ADAPT CANDIDATE,Phase 1,Phase 1 foundation; through Phase 3,"WooCommerce, Loyverse",2,KSF-WC-009,,,,KL-LV-073,ADOPT | UX IMPROVEMENT,"Customer profile and address book | Customer profiles, phone lookup and Booking history",,,,,,
KLMF-CUS-008,CUS,Customer groups and segmentation,Shared Suite Governance & KitLuy Core,UNRESOLVED,ADOPT / ADAPT CANDIDATE,Phase 3,Phase 3,Shopify,1,,,KLS-SH-074,,,PHASE 3 HORIZONTAL,Customer segments,,,,,,
KLMF-CUS-009,CUS,Customer mapping and transaction ingress,Shared Suite Governance & KitLuy Core,PLANNING CANDIDATE,ADOPT / ADAPT CANDIDATE,Phase 3,Phase 3,WooCommerce,1,KCA-WC-003,,,,,ADAPT,Customer mapping and transaction ingress,,,,,,
KLMF-CUS-010,CUS,Guest-order access,Shared Suite Governance & KitLuy Core,PLANNING CANDIDATE,ADOPT / ADAPT CANDIDATE,Phase 3,Phase 3,WooCommerce,1,KCS-WC-013,,,,,ADOPT,Guest-order access,,,,,,
KLMF-CUS-011,CUS,"Loyalty points, rewards and ledger",Shared Suite Governance & KitLuy Core,APPROVED TARGET,"PHASED: APPROVED FOUNDATION, DEFERRED DEPTH",Phase 1,Phase 1 foundation; through Phase 6,"Toast, Lightspeed, Loyverse",3,,KST-096,,KLS-LS-039,KL-LV-074,DEFER | ALREADY LATER-PHASE TARGET,Loyalty | Loyalty and customer groups | Loyalty ledger,,,,,,
KLMF-CUS-012,CUS,"Marketing campaigns, audiences and consent",kitluy-notification-service,PLANNING CANDIDATE,DEFER,Later / deferred phase,Later / deferred phase,Toast,1,,KST-097,,,,DEFER,Marketing campaigns,,,,,,
KLMF-CUS-013,CUS,"Offline customer lookup, pricing and promotion rules",Shared Suite Governance & KitLuy Core,APPROVED TARGET,PRESERVE / DEEPEN KITLUY TARGET,Phase 1,Phase 1,WooCommerce,1,KHB-WC-009,,,,,KEEP KITLUY,"Offline customer lookup, pricing and promotion rules",,,,,,
KLMF-CUS-014,CUS,Phone-first and passwordless identity,Shared Suite Governance & KitLuy Core,PLANNING CANDIDATE,ADOPT / ADAPT CANDIDATE,Phase 1,Phase 1 foundation; through Phase 3,Shopify,1,,,KLS-SH-073,,,ADAPT,Phone-first and passwordless identity,,,,,,
KLMF-CUS-015,CUS,POS/CDS points presentation and redemption,KitLuy Storefront,UNRESOLVED,DEFER,Later / deferred phase,Later / deferred phase,Loyverse,1,,,,,KL-LV-075,DEFER,POS/CDS points presentation and redemption,,,,,,
KLMF-CUS-016,CUS,"Reviews, ratings, moderation and trust",KitLuy Storefront,APPROVED TARGET,ADOPT / ADAPT CANDIDATE,Phase 3,Phase 3,"WooCommerce, Shopify",3,KPP-WC-014; KSF-WC-027,,KLS-SH-080,,,ADOPT | ECOMMERCE VERTICAL | PHASE 3 HORIZONTAL,"Moderation, spam handling and visibility | Product reviews and ratings | Reviews and recovery attribution",,,,,,
KLMF-CUS-017,CUS,Unified customer identity and guest conversion,Shared Suite Governance & KitLuy Core,OWNER-LOCKED,PRESERVE OWNER-LOCKED AUTHORITY,Phase 1,Phase 1 foundation; through Phase 3,"WooCommerce, Shopify, Loyverse",6,KLC-WC-008; KLC-WC-052; KLC-WC-076; KCS-WC-010,,KLS-SH-071,,KL-LV-076,CORE CANDIDATE | ECOMMERCE VERTICAL | ADOPT | PHASE 3 HORIZONTAL | KEEP KITLUY,Khmer phone and email identity | Guest and registered customer model | Multi-store and Chain customer identity | Guest-to-customer conversion and cart merge | Guest-to-customer conversion | Multi-store customer identity,,,,,,
KLMF-CUS-018,CUS,Vertical-qualified service reviews,KitLuy Storefront,APPROVED TARGET,ADOPT / ADAPT CANDIDATE,Phase 3,Phase 3,WooCommerce,1,KSF-WC-034,,,,,HORIZONTAL AFTER PHASE 3,Service reviews for qualified verticals,,,,,,
KLMF-DEV-001,DEV,Certified Android terminal profile,Shared Suite Governance & KitLuy Core,APPROVED TARGET,ADOPT / ADAPT CANDIDATE,Phase 1,Phase 1 foundation; through Phase 4,Loyverse,1,,,,,KL-LV-103,ADAPT,Certified Android terminal profile,,,,,,
KLMF-DEV-002,DEV,Certified hardware profiles and compatibility matrix,kitluy-admin-portal,OWNER-LOCKED,ADAPT WITH CERTIFICATION GUARDRAIL,Phase 1,Phase 1,"Lightspeed, Loyverse",2,,,,KLS-LS-067,KL-LV-108,ADAPT | REJECT,Certified hardware profiles and compatibility matrix | Arbitrary unsupported hardware,,,,,,
KLMF-DEV-003,DEV,Device outbox and Store Hub event queue,Shared Suite Governance & KitLuy Core,APPROVED TARGET,PRESERVE / DEEPEN KITLUY TARGET,Phase 1,Phase 1,WooCommerce,1,KHB-WC-008,,,,,KEEP KITLUY,Device outbox and Store Hub event queue,,,,,,
KLMF-DEV-004,DEV,"Device recovery, reprovisioning and revocation",kitluy-admin-portal,APPROVED TARGET,ADOPT / ADAPT CANDIDATE,Phase 1,Phase 1,Loyverse,1,,,,,KL-LV-026,UX IMPROVEMENT,"Recovery, reprovisioning and revocation",,,,,,
KLMF-DEV-005,DEV,"Device registration, certificates and trust",kitluy-admin-portal,OWNER-LOCKED,PRESERVE OWNER-LOCKED AUTHORITY,Phase 1,Phase 1,WooCommerce,1,KAD-WC-002,,,,,KEEP KITLUY,Device registration and certificates,,,,,,
KLMF-DEV-006,DEV,"Device revocation, replacement and remote diagnostics",kitluy-admin-portal,APPROVED TARGET,PRESERVE / DEEPEN KITLUY TARGET,Phase 1,Phase 1,"WooCommerce, Loyverse",2,KAD-WC-003,,,,KL-LV-107,KEEP KITLUY | UX IMPROVEMENT,Device revocation and remote diagnostics | Lost/stolen device revocation,,,,,,
KLMF-DEV-007,DEV,Device role assignment,kitluy-admin-portal,OWNER-LOCKED,PRESERVE OWNER-LOCKED AUTHORITY,Phase 1,Phase 1,Loyverse,1,,,,,KL-LV-022,KEEP KITLUY,Device role assignment,,,,,,
KLMF-DEV-008,DEV,Digital Store-first Hub and terminal provisioning,kitluy-admin-portal,OWNER-LOCKED,PRESERVE OWNER-LOCKED AUTHORITY,Phase 1,Phase 1,"WooCommerce, Loyverse",2,KAD-WC-001,,,,KL-LV-020,ALREADY OWNER-LOCKED | KEEP KITLUY,Physical provisioning after Digital Store | Store Hub provisioning,,,,,,
KLMF-DEV-009,DEV,"Electron, React Native and Expo clients",Shared Suite Governance & KitLuy Core,APPROVED TARGET,PRESERVE / DEEPEN KITLUY TARGET,Phase 1,Phase 1,WooCommerce,1,KPD-WC-007,,,,,KEEP KITLUY,"Electron, React Native and Expo clients",,,,,,
KLMF-DEV-010,DEV,Hardware ownership,Shared Suite Governance & KitLuy Core,PLANNING CANDIDATE,REJECT / ARCHITECTURAL GUARDRAIL,All phases,All phases,Toast,1,,KST-010,,,,REJECT,Hardware ownership,,,,,,
KLMF-DEV-011,DEV,Plugin conflicts as accepted operating condition,Shared Suite Governance & KitLuy Core,OWNER-LOCKED,REJECT / ARCHITECTURAL GUARDRAIL,Unresolved,Unresolved,WooCommerce,1,KHB-WC-014,,,,,REJECT,Plugin conflicts as accepted operating condition,,,,,,
KLMF-DEV-012,DEV,Printer fallback and duplicate suppression,Store Hub / kitluy-hub-agent,PLANNING CANDIDATE,ADOPT / ADAPT CANDIDATE,Phase 1,Phase 1 foundation; through Phase 2,Toast,1,,KST-062,,,,CORE CANDIDATE,Printer fallback and duplicate suppression,,,,,,
KLMF-DEV-013,DEV,Printer/scanner/scale/drawer setup,Store Hub / kitluy-hub-agent,APPROVED TARGET,ADOPT / ADAPT CANDIDATE,Phase 1,Phase 1,Loyverse,1,,,,,KL-LV-023,UX IMPROVEMENT,Printer/scanner/scale/drawer setup,,,,,,
KLMF-DEV-014,DEV,"Printers, scanners, scales, drawers and displays",Store Hub / kitluy-hub-agent,APPROVED TARGET,PRESERVE / DEEPEN KITLUY TARGET,Phase 1,Phase 1,"WooCommerce, Loyverse",3,KAD-WC-013; KHB-WC-003,,,,KL-LV-104,KEEP KITLUY | UX IMPROVEMENT,"Store Hubs, POS, T1-T4 and peripherals | Printers, scanners, scales, drawers and displays | ESC/POS, HID scanners, scales and drawer",,,,,,
KLMF-DEV-015,DEV,Proprietary hardware dependence,Shared Suite Governance & KitLuy Core,PLANNING CANDIDATE,REJECT / ARCHITECTURAL GUARDRAIL,All phases,All phases,Toast,1,,KST-114,,,,REJECT,Proprietary hardware dependence,,,,,,
KLMF-DEV-016,DEV,Raspberry Pi Store Hub and Electron terminals,Store Hub / kitluy-hub-agent,OWNER-LOCKED,PRESERVE OWNER-LOCKED AUTHORITY,Phase 1,Phase 1,Loyverse,1,,,,,KL-LV-102,KEEP KITLUY,Raspberry Pi Store Hub and Electron terminals,,,,,,
KLMF-DEV-017,DEV,Raspberry Pi Store Hub and terminal architecture,Shared Suite Governance & KitLuy Core,OWNER-LOCKED,PRESERVE OWNER-LOCKED AUTHORITY,Phase 1,Phase 1,WooCommerce,1,KHB-WC-004,,,,,KEEP KITLUY,Raspberry Pi Store Hub and terminal architecture,,,,,,
KLMF-DEV-018,DEV,Reject cloud-only printing for offline Stores,Store Hub / kitluy-hub-agent,PLANNING CANDIDATE,REJECT / ARCHITECTURAL GUARDRAIL,Phase 1,Phase 1,Toast,1,,KST-107,,,,REJECT,Cloud-only print relay,,,,,,
KLMF-DEV-019,DEV,Store Hub discovery and terminal pairing,Store Hub / kitluy-hub-agent,OWNER-LOCKED,PRESERVE OWNER-LOCKED AUTHORITY,Phase 1,Phase 1,"WooCommerce, Toast, Loyverse",3,KHB-WC-002,KST-108,,,KL-LV-021,KEEP KITLUY | UX IMPROVEMENT,Hub discovery and terminal pairing | Device pairing | Terminal pairing,,,,,,
KLMF-DEV-020,DEV,Terminal-side short-lived outbox,Shared Suite Governance & KitLuy Core,UNRESOLVED,ADOPT / ADAPT CANDIDATE,Later / deferred phase,Later / deferred phase,Loyverse,1,,,,,KL-LV-096,ADAPT,Terminal-side short-lived outbox,,,,,,
KLMF-DEV-021,DEV,Versioned configuration deployment,Shared Suite Governance & KitLuy Core,OWNER-LOCKED,PRESERVE OWNER-LOCKED AUTHORITY,Phase 1,Phase 1,WooCommerce,1,KMA-WC-003,,,,,ALREADY OWNER-LOCKED,Versioned configuration deployment,,,,,,
KLMF-EDGE-001,EDGE,Arbitrary code in core transaction path,Store Hub / kitluy-hub-agent,OWNER-LOCKED,REJECT / ARCHITECTURAL GUARDRAIL,Unresolved,Unresolved,WooCommerce,1,KID-WC-026,,,,,REJECT,Arbitrary code in core transaction path,,,,,,
KLMF-EDGE-002,EDGE,Cached versus authoritative cloud data,Shared Suite Governance & KitLuy Core,OWNER-LOCKED,PRESERVE OWNER-LOCKED AUTHORITY,Phase 1,Phase 1,Loyverse,1,,,,,KL-LV-101,KEEP KITLUY,Cached versus authoritative cloud data,,,,,,
KLMF-EDGE-003,EDGE,Cloud configuration authority and local operational truth,Store Hub / kitluy-hub-agent,OWNER-LOCKED,PRESERVE OWNER-LOCKED AUTHORITY,Phase 1,Phase 1,WooCommerce,1,KHB-WC-001,,,,,KEEP KITLUY,Cloud configuration truth plus local operational truth,,,,,,
KLMF-EDGE-004,EDGE,"Connector credentials, health, mapping, retry and audit",Store Hub / kitluy-hub-agent,APPROVED TARGET,PRESERVE / DEEPEN KITLUY TARGET,Phase 1,Phase 1,WooCommerce,1,KID-WC-013,,,,,KEEP KITLUY,"Connector credentials, health, mapping, retry and audit",,,,,,
KLMF-EDGE-005,EDGE,Extension manifests and declared permissions,Store Hub / kitluy-hub-agent,OWNER-LOCKED,PRESERVE OWNER-LOCKED AUTHORITY,Phase 1,Phase 1,WooCommerce,1,KID-WC-015,,,,,ALREADY OWNER-LOCKED,Extension manifests and declared permissions,,,,,,
KLMF-EDGE-006,EDGE,"Install, activate, suspend and remove lifecycle",Store Hub / kitluy-hub-agent,OWNER-LOCKED,PRESERVE OWNER-LOCKED AUTHORITY,Phase 1,Phase 1,WooCommerce,1,KAD-WC-015,,,,,ALREADY OWNER-LOCKED,"Install, activate, suspend and remove lifecycle",,,,,,
KLMF-EDGE-007,EDGE,"Offline operational files, images, thumbnails and receipts",Store Hub / kitluy-hub-agent,APPROVED TARGET,PRESERVE / DEEPEN KITLUY TARGET,Phase 1,Phase 1,"WooCommerce, Toast, Loyverse",3,KFS-WC-002,KST-112,,,KL-LV-098,KEEP KITLUY,"Offline files, thumbnails and receipts | Operational files and thumbnails offline | Offline files and images",,,,,,
KLMF-EDGE-008,EDGE,Offline promotion enforcement,Shared Suite Governance & KitLuy Core,APPROVED TARGET,PRESERVE / DEEPEN KITLUY TARGET,Phase 1,Phase 1,WooCommerce,1,KHB-WC-013,,,,,KEEP KITLUY,Offline promotion enforcement,,,,,,
KLMF-EDGE-009,EDGE,"Offline sync, outbox/inbox, cursors and conflict policy",Store Hub / kitluy-hub-agent,APPROVED TARGET,PRESERVE / DEEPEN KITLUY TARGET,Phase 1,Phase 1,"WooCommerce, Toast, Shopify, Loyverse",5,KHB-WC-007,KST-106,KLS-SH-095,,KL-LV-095; KL-LV-097,KEEP KITLUY | ADAPT,"Cloud sync cursors, idempotency, retry and conflict policy | Sync conflict policy | POS offline sync and conflict policy | Local database and Hub outbox/inbox | Conflict handling, sync cursor and idempotency",,,,,,
KLMF-EDGE-010,EDGE,POS and LAN operation during WAN failure,Shared Suite Governance & KitLuy Core,OWNER-LOCKED,PRESERVE OWNER-LOCKED AUTHORITY,Phase 1,Phase 1,WooCommerce,1,KHB-WC-010,,,,,KEEP KITLUY,POS and LAN operation during WAN failure,,,,,,
KLMF-EDGE-011,EDGE,Reconnect recovery and operator UX,Store Hub / kitluy-hub-agent,APPROVED TARGET,ADOPT / ADAPT CANDIDATE,Phase 1,Phase 1,"WooCommerce, Loyverse",2,KSF-WC-001,,,,KL-LV-100,ADAPT | UX IMPROVEMENT,Inventory/capacity freshness and reconnect recovery | Reconnection UX,,,,,,
KLMF-EDGE-012,EDGE,Store Hub local operational authority and database,Store Hub / kitluy-hub-agent,OWNER-LOCKED,PRESERVE OWNER-LOCKED AUTHORITY,Phase 1,Phase 1,"WooCommerce, Toast, Shopify, Lightspeed, Loyverse",5,KHB-WC-011,KST-016,KLS-SH-094,KLS-LS-003,KL-LV-094,KEEP KITLUY,Store Hub local database and authority | Store Hub local authority | Store Hub local operational authority,,,,,,
KLMF-EDGE-013,EDGE,Store LAN communication and local service discovery,Store Hub / kitluy-hub-agent,OWNER-LOCKED,PRESERVE OWNER-LOCKED AUTHORITY,Phase 1,Phase 1,Loyverse,1,,,,,KL-LV-054,KEEP KITLUY,LAN communication,,,,,,
KLMF-EDGE-014,EDGE,"Sync status, retry and conflict handling",Shared Suite Governance & KitLuy Core,OWNER-LOCKED,PRESERVE OWNER-LOCKED AUTHORITY,Phase 1,Phase 1,WooCommerce,1,KID-WC-007,,,,,ALREADY OWNER-LOCKED,"Sync status, retry and conflict handling",,,,,,
KLMF-EDGE-015,EDGE,Synchronous validation versus asynchronous lifecycle events,KitLuy AI Gateway / MCP / RAG,PLANNING CANDIDATE,ADOPT / ADAPT CANDIDATE,Phase 1,Phase 1,WooCommerce,1,KID-WC-010,,,,,ADAPT,Synchronous validation versus asynchronous lifecycle events,,,,,,
KLMF-EDGE-016,EDGE,Versioned configuration projection to Store Locations,Store Hub / kitluy-hub-agent,OWNER-LOCKED,PRESERVE OWNER-LOCKED AUTHORITY,Phase 1,Phase 1,WooCommerce,1,KMA-WC-002,,,,,ALREADY OWNER-LOCKED,Configuration projection to Locations,,,,,,
KLMF-EDGE-017,EDGE,Versioned server-wins configuration,Shared Suite Governance & KitLuy Core,OWNER-LOCKED,PRESERVE OWNER-LOCKED AUTHORITY,Phase 1,Phase 1,WooCommerce,1,KMA-WC-004,,,,,ALREADY OWNER-LOCKED,Versioned server-wins configuration,,,,,,
KLMF-FILE-001,FILE,Catalog media library and transformations,kitluy-file-service,APPROVED TARGET,PRESERVE / DEEPEN KITLUY TARGET,Phase 3,Phase 3,Shopify,1,,,KLS-SH-022,,,ALREADY PHASE 3 TARGET,Media library and transformations,,,,,,
KLMF-FILE-002,FILE,Digital goods and protected downloads,kitluy-file-service,APPROVED TARGET,PRESERVE / DEEPEN KITLUY TARGET,Phase 3,Phase 3,"WooCommerce, Shopify, Lightspeed",4,KSF-WC-023; KSF-WC-024,,KLS-SH-023,KLS-LS-061,,ECOMMERCE VERTICAL | PHASE 3 HORIZONTAL | ALREADY PHASE 3 TARGET,"Virtual and downloadable products | Downloadable products | Digital goods and protected downloads | Product reviews, SEO and digital goods",,,,,,
KLMF-FILE-003,FILE,File ownership and audit,Shared Suite Governance & KitLuy Core,APPROVED TARGET,PRESERVE / DEEPEN KITLUY TARGET,Phase 1,Phase 1,WooCommerce,1,KFS-WC-001,,,,,KEEP KITLUY,File ownership and audit,,,,,,
KLMF-FILE-004,FILE,Membership documents and service entitlements,kitluy-file-service,APPROVED TARGET,ADOPT / ADAPT CANDIDATE,Phase 3,Phase 3,WooCommerce,1,KLC-WC-091,,,,,HORIZONTAL AFTER PHASE 3,Membership documents and service entitlements,,,,,,
KLMF-FIN-001,FIN,Business date and operational-day boundary,Shared Suite Governance & KitLuy Core,PLANNING CANDIDATE,ADOPT / ADAPT CANDIDATE,Phase 1,Phase 1 foundation; through Phase 2,Toast,1,,KST-054,,,,CORE CANDIDATE,Business date,,,,,,
KLMF-FIN-002,FIN,Cash drawer sessions and cash movements,Shared Suite Governance & KitLuy Core,APPROVED TARGET,ADOPT / ADAPT CANDIDATE,Phase 1,Phase 1 foundation; through Phase 8,"Toast, Lightspeed, Loyverse",3,,KST-079,,KLS-LS-034,KL-LV-070,CORE CANDIDATE | UX IMPROVEMENT,"Cash drawer | Pay in, pay out, safe drop and cash deposit | Cash drawer, pay-in and pay-out",,,,,,
KLMF-FIN-003,FIN,"Cost, COGS and margin attributes",Shared Suite Governance & KitLuy Core,PLANNING CANDIDATE,ADOPT / ADAPT CANDIDATE,Phase 2,Phase 2 foundation; through Phase 3,"WooCommerce, Toast",2,KLC-WC-075,KST-093,,,,CORE CANDIDATE | ADOPT,COGS and margin attributes | Food cost and theoretical vs actual,,,,,,
KLMF-FIN-004,FIN,Cost-based rate limiting and query budgets,Shared Suite Governance & KitLuy Core,UNRESOLVED,ADOPT / ADAPT CANDIDATE,Phase 3,Phase 3,Shopify,1,,,KLS-SH-103,,,ADAPT,Cost-based rate limiting and query budgets,,,,,,
KLMF-FIN-005,FIN,"Operational finance subledger, liabilities and accounting exports",Shared Suite Governance & KitLuy Core,OWNER-LOCKED,PRESERVE OWNER-LOCKED AUTHORITY,Phase 1,Phase 1 foundation; extended by later verticals,WooCommerce,1,KLC-WC-094,,,,,NEEDS OWNER DECISION,"Revenue recognition, refunds and liabilities","Owner-confirmed B on 2026-07-24: KitLuy owns the authoritative operational finance subledger, liabilities, reconciliation and accountant-ready exports/connectors, but is not initially a complete statutory ERP/general ledger.",KLD-2026-07-24-001,B,2026-07-24,"KitLuy owns the authoritative operational finance subledger, liabilities, reconciliation and accountant-ready exports/connectors, but is not initially a complete statutory ERP/general ledger.",Finalized financial records remain append-only; statutory accounting and revenue-recognition mappings require qualified human approval.
KLMF-FIN-006,FIN,Landed-cost allocation,kitluy-partner-portal,PLANNING CANDIDATE,ADOPT / ADAPT CANDIDATE,Phase 4,Phase 4 foundation; through Phase 6,Lightspeed,1,,,,KLS-LS-028,,ADAPT,Landed-cost allocation,,,,,,
KLMF-FIN-007,FIN,Partner account before Store creation,Shared Suite Governance & KitLuy Core,APPROVED TARGET,PRESERVE / DEEPEN KITLUY TARGET,Phase 1,Phase 1,WooCommerce,1,KPP-WC-002,,,,,KEEP KITLUY,Partner account before Store creation,,,,,,
KLMF-FIN-008,FIN,Register sessions and business-day close,Shared Suite Governance & KitLuy Core,APPROVED TARGET,PRESERVE / DEEPEN KITLUY TARGET,Phase 1,Phase 1 foundation; through Phase 2,"Toast, Lightspeed",2,,KST-082,,KLS-LS-033,,ALREADY PHASE 2 TARGET | CORE CANDIDATE,Business-day close | Register sessions and business-day close,,,,,,
KLMF-FIN-009,FIN,"Safe drops, deposits and cash-office controls",Shared Suite Governance & KitLuy Core,PLANNING CANDIDATE,ADOPT / ADAPT CANDIDATE,Phase 2,Phase 2,Toast,1,,KST-080,,,,ADOPT,Safe drop and deposit,,,,,,
KLMF-FIN-010,FIN,Service-charge rules and reporting,Shared Suite Governance & KitLuy Core,APPROVED TARGET,PRESERVE / DEEPEN KITLUY TARGET,Phase 2,Phase 2,Toast,1,,KST-085,,,,ALREADY PHASE 2 TARGET,Service charges,,,,,,
KLMF-FIN-011,FIN,"Tips, distribution and reporting",Shared Suite Governance & KitLuy Core,APPROVED TARGET,PRESERVE / DEEPEN KITLUY TARGET,Phase 2,Phase 2,Toast,2,,KST-083; KST-084,,,,ALREADY PHASE 2 TARGET | ADOPT,Tips | Tip pools by points/percent/service period,,,,,,
KLMF-FUL-001,FUL,Channel context and fulfillment records,Shared Suite Governance & KitLuy Core,OWNER-LOCKED,PRESERVE OWNER-LOCKED AUTHORITY,Phase 1,Phase 1,WooCommerce,1,KLC-WC-071,,,,,ALREADY OWNER-LOCKED,Channel context and fulfillment records,,,,,,
KLMF-FUL-002,FUL,Delivery workspace and dispatch,kitluy-pos-desktop-app,APPROVED TARGET,PRESERVE / DEEPEN KITLUY TARGET,Phase 2,Phase 2,Toast,1,,KST-068,,,,ALREADY PHASE 2 TARGET,Delivery workspace and dispatch,,,,,,
KLMF-FUL-003,FUL,"Flat rate, free shipping and local pickup",Shared Suite Governance & KitLuy Core,APPROVED TARGET,ADOPT / ADAPT CANDIDATE,Phase 3,Phase 3,WooCommerce,1,KCS-WC-014,,,,,ECOMMERCE VERTICAL,"Flat rate, free shipping and local pickup",,,,,,
KLMF-FUL-004,FUL,"Fulfilment status, tracking and customer events",Shared Suite Governance & KitLuy Core,APPROVED TARGET,PRESERVE / DEEPEN KITLUY TARGET,Phase 3,Phase 3,"WooCommerce, Shopify",2,KLC-WC-065,,KLS-SH-065,,,ECOMMERCE VERTICAL | ALREADY PHASE 3 TARGET,Fulfillment status and shipment tracking | Tracking and fulfilment events,,,,,,
KLMF-FUL-005,FUL,Fulfilment work order/entity,Shared Suite Governance & KitLuy Core,UNRESOLVED,ADOPT / ADAPT CANDIDATE,Phase 3,Phase 3,Shopify,1,,,KLS-SH-063,,,CORE CANDIDATE,Fulfilment work order/entity,,,,,,
KLMF-FUL-006,FUL,Neutral fulfilment core with vertical terminology adapters,Shared Suite Governance & KitLuy Core,OWNER-LOCKED,PRESERVE OWNER-LOCKED AUTHORITY,Phase 1,Phase 1,WooCommerce,1,KLC-WC-037,,,,,KEEP KITLUY,Generic fulfillment Core versus vertical terminology,,,,,,
KLMF-FUL-007,FUL,Partial and split fulfilment,Shared Suite Governance & KitLuy Core,APPROVED TARGET,ADOPT / ADAPT CANDIDATE,Phase 3,Phase 3,"WooCommerce, Shopify",2,KLC-WC-082,,KLS-SH-064,,,ADOPT | PHASE 3 HORIZONTAL,Partial and split fulfillment | Split and partial fulfilment,,,,,,
KLMF-FUL-008,FUL,"Pickup, delivery, service areas and time windows",Shared Suite Governance & KitLuy Core,OWNER-LOCKED,PRESERVE OWNER-LOCKED AUTHORITY,Phase 1,Phase 1 foundation; through Phase 3,"WooCommerce, Shopify",4,KLC-WC-054; KLC-WC-057; KLC-WC-066,,KLS-SH-048,,,ALREADY OWNER-LOCKED | ADAPT | ALREADY PHASE 3 TARGET,"Appointment, pickup and delivery windows | Local delivery practices | Service areas, pickup windows and delivery windows | Shipping, pickup and local delivery selection",,,,,,
KLMF-FUL-009,FUL,Returns and exchanges,Shared Suite Governance & KitLuy Core,APPROVED TARGET,PRESERVE / DEEPEN KITLUY TARGET,Phase 6,Phase 6,Lightspeed,1,,,,KLS-LS-035,,ALREADY LATER-PHASE TARGET,Returns and exchanges,,,,,,
KLMF-FUL-010,FUL,Shipping labels and carrier aggregation,Integration Hub / Developer Platform,PLANNING CANDIDATE,DEFER,Phase 3,Phase 3,Shopify,1,,,KLS-SH-066,,,DEFER,Shipping labels and carrier aggregation,,,,,,
